Incident Description,Full Address,City,State,Country,category,Crime Date and Time,Disposition,Location,Case number,Body Value,Field Log Category Value,Field Log Disposition Value,Field Log Location Value
"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",430 COMPLEX DR  ,Lexington,Kentucky,United States of America,Theft,8/28/2015 0:00,Closed,430 COMPLEX DR,20151906,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",Theft,Closed,430 COMPLEX DR
"CARELESS DRIVING, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M",COLUMBIA AVE & PENNSYLVANIA AVE  ,Lexington,Kentucky,United States of America,DUI,8/28/2015 6:25,Cleared By Arrest,COLUMBIA AVE & PENNSYLVANIA AVE,20151908,"CARELESS DRIVING, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M",DUI,Cleared By Arrest,COLUMBIA AVE & PENNSYLVANIA AVE
"FAILURE TO OR IMPROPER SIGNAL, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST OFF/M",PINE ST & SOUTH UPPER ST  ,Lexington,Kentucky,United States of America,DUI,8/28/2015 6:46,Cleared By Arrest,PINE ST & SOUTH UPPER ST,20151909,"FAILURE TO OR IMPROPER SIGNAL, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST OFF/M",DUI,Cleared By Arrest,PINE ST & SOUTH UPPER ST
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/27/2015 11:57,Closed CSA,1350 BULL LEA RD,CSA20150808,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/27/2015 18:20,Closed CSA,1350 BULL LEA RD,CSA20150809,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/27/2015 20:10,Closed CSA,1350 BULL LEA RD,CSA20150810,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/28/2015 7:46,Closed CSA,1350 BULL LEA RD,CSA20150811,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,8/28/2015 13:14,Closed CSA,1350 BULL LEA RD,CSA20150812,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,8/28/2015 13:53,Closed CSA,1350 BULL LEA RD,CSA20150813,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
TBUT OR DISP ALL OTHERS U/$500/M,750 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,8/28/2015 13:35,Open,750 WOODLAND AVE,20151910,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Open,750 WOODLAND AVE
"TBUT OR DISP ALL OTHER $500 OR MORE BU U/$10,000/F",120 PATTERSON DR  ,Lexington,Kentucky,United States of America,Theft,8/28/2015 19:30,Closed,120 PATTERSON DR,20151911,"TBUT OR DISP ALL OTHER $500 OR MORE BU U/$10,000/F",Theft,Closed,120 PATTERSON DR
HARASSMENT (NO PHYSICAL CONTACT),UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Harassment,8/28/2015 1:55,Open,UNIVERSITY DR,20151912,HARASSMENT (NO PHYSICAL CONTACT),Harassment,Open,UNIVERSITY DR
"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",301 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Drug Violations,8/29/2015 2:51,Citation Issued,301 HILLTOP AVE,20151915,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Drug Violations,Citation Issued,301 HILLTOP AVE
"DRUG PARAPHERNALIA - BUY/POSSESS/M, OPERATING ON SUS OR REV OPER LICENSE/M",AVENUE OF CHAMPIONS & SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Drug Violations,8/29/2015 4:10,Citation Issued,AVENUE OF CHAMPIONS & SOUTH LIMESTONE ST,20151917,"DRUG PARAPHERNALIA - BUY/POSSESS/M, OPERATING ON SUS OR REV OPER LICENSE/M",Drug Violations,Citation Issued,AVENUE OF CHAMPIONS & SOUTH LIMESTONE ST
OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M,SOUTH LIMESTONE ST & VIRGINIA AVE  ,Lexington,Kentucky,United States of America,DUI,8/29/2015 16:32,Cleared By Arrest,SOUTH LIMESTONE ST & VIRGINIA AVE,20151918,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M,DUI,Cleared By Arrest,SOUTH LIMESTONE ST & VIRGINIA AVE
DISPLAY OR POSS OF CANCELLED OR FICTITIOUS OPER LICENSE/M,685 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,All Other Offenses,8/29/2015 6:15,Closed,685 SPORTS CENTER DR,20151919,DISPLAY OR POSS OF CANCELLED OR FICTITIOUS OPER LICENSE/M,All Other Offenses,Closed,685 SPORTS CENTER DR
"DISORDERLY CONDUCT 2ND/M, TERRORISTIC THREATENING 3RD/M, ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFF IN 12 MONTHS/M",310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Terroristic Threatening,8/29/2015 7:37,Cleared By Arrest,310 SOUTH LIMESTONE ST,20151920,"DISORDERLY CONDUCT 2ND/M, TERRORISTIC THREATENING 3RD/M, ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFF IN 12 MONTHS/M",Terroristic Threatening,Cleared By Arrest,310 SOUTH LIMESTONE ST
"TBUT OR DISP BICYCLES $500 ORE MORE BUT U/$10,000/F",705 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Theft,8/26/2015 22:00,Closed,705 SPORTS CENTER DR,20151921,"TBUT OR DISP BICYCLES $500 ORE MORE BUT U/$10,000/F",Theft,Closed,705 SPORTS CENTER DR
"IMPROPER TURNING, FAILURE TO PRODUCE INSURANCE CARD, DRUG PARAPHERNALIA - BUY/POSSESS/M",ROSE ST & WASHINGTON AVE  ,Lexington,Kentucky,United States of America,Drug Violations,8/30/2015 2:58,Citation Issued,ROSE ST & WASHINGTON AVE,20151923,"IMPROPER TURNING, FAILURE TO PRODUCE INSURANCE CARD, DRUG PARAPHERNALIA - BUY/POSSESS/M",Drug Violations,Citation Issued,ROSE ST & WASHINGTON AVE
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),PATTERSON DR & ROSE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,8/30/2015 2:59,Cleared By Arrest,PATTERSON DR & ROSE ST,20151924,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Cleared By Arrest,PATTERSON DR & ROSE ST
"RECKLESS DRIVING, FAILURE TO YIELD RIGHT OF WAY TO PEDESTRIANS, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUMS) 1ST OFF/M, POSS OF MARIJUANA/M",WOODLAND AVE & HILLTOP AVE  ,Lexington,Kentucky,United States of America,DUI,8/30/2015 6:24,Cleared By Arrest,WOODLAND AVE & HILLTOP AVE,20151926,"RECKLESS DRIVING, FAILURE TO YIELD RIGHT OF WAY TO PEDESTRIANS, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUMS) 1ST OFF/M, POSS OF MARIJUANA/M",DUI,Cleared By Arrest,WOODLAND AVE & HILLTOP AVE
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,1435 NICHOLASVILLE RD  ,Lexington,Kentucky,United States of America,Theft,8/29/2015 3:00,Closed,1435 NICHOLASVILLE RD,20151929,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,Theft,Closed,1435 NICHOLASVILLE RD
"ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFF IN 12 MONTHS/M, CRIMINAL TRESPASSING 3RD",721 PRESS AVE  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,8/31/2015 0:14,Cleared By Arrest,721 PRESS AVE,20151933,"ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFF IN 12 MONTHS/M, CRIMINAL TRESPASSING 3RD",Alcohol Intoxication,Cleared By Arrest,721 PRESS AVE
ASSAULT 4TH DEGREE (MINOR INJURY)/M,1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Assault,8/31/2015 2:25,Closed,1540 UNIVERSITY DR,20151934,ASSAULT 4TH DEGREE (MINOR INJURY)/M,Assault,Closed,1540 UNIVERSITY DR
POSS OF MARIJUANA/M,754 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Drug Violations,8/31/2015 4:11,Citation Issued,754 WOODLAND AVE,20151935,POSS OF MARIJUANA/M,Drug Violations,Citation Issued,754 WOODLAND AVE
HARASSING COMMUNICATIONS/M,550 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Harassing Communications,8/30/2015 4:35,Open,550 SOUTH LIMESTONE ST,20151936,HARASSING COMMUNICATIONS/M,Harassing Communications,Open,550 SOUTH LIMESTONE ST
ASSAULT 4TH DEGREE (MINOR INJURY)/M,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/31/2015 1:20,Open,1350 BULL LEA RD,20151937,ASSAULT 4TH DEGREE (MINOR INJURY)/M,Assault,Open,1350 BULL LEA RD
"ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFF IN 12 MONTHS/M, POSS OF MARIJUANA/M",310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Drug Violations,8/31/2015 5:42,Cleared By Arrest,310 SOUTH LIMESTONE ST,20151938,"ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFF IN 12 MONTHS/M, POSS OF MARIJUANA/M",Drug Violations,Cleared By Arrest,310 SOUTH LIMESTONE ST
"POSS OF MARIJUANA/M x2, DRUG PARAPHERNALIA - BUY/POSSESS/M x2",518 PARK AVE  ,Lexington,Kentucky,United States of America,Drug Violations,8/30/2015 21:30,Citation Issued,518 PARK AVE,20151932,"POSS OF MARIJUANA/M x2, DRUG PARAPHERNALIA - BUY/POSSESS/M x2",Drug Violations,Citation Issued,518 PARK AVE
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",401 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,8/30/2015 20:05,Closed,401 HILLTOP AVE,20151931,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Closed,401 HILLTOP AVE
ALCOHOL INTOXICATION IN A PUBLIC PLACE,685 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,8/29/2015 6:04,Closed Disciplinary Referral,685 SPORTS CENTER DR,201525440,ALCOHOL INTOXICATION IN A PUBLIC PLACE,Alcohol Intoxication,Closed Disciplinary Referral,685 SPORTS CENTER DR
PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,340 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Liquor Law Violation,8/30/2015 6:15,Closed Disciplinary Referral,340 HILLTOP AVE,CSA20150814,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,Liquor Law Violation,Closed Disciplinary Referral,340 HILLTOP AVE
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/28/2015 17:30,Closed CSA,1350 BULL LEA RD,CSA20150815,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/28/2015 19:30,Closed CSA,1350 BULL LEA RD,CSA20150816,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
"ASSAULT, TERRORISTIC THREATENING",1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/28/2015 21:48,Closed CSA,1350 BULL LEA RD,CSA20150817,"ASSAULT, TERRORISTIC THREATENING",Assault,Closed CSA,1350 BULL LEA RD
"ASSAULT, TERRORISTIC THREATENING",1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/30/2015 11:40,Closed CSA,1350 BULL LEA RD,CSA20150818,"ASSAULT, TERRORISTIC THREATENING",Assault,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,8/30/2015 14:35,Closed CSA,1350 BULL LEA RD,CSA20150819,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
"ASSAULT, TERRORISTIC THREATENING",1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/30/2015 17:37,Closed CSA,1350 BULL LEA RD,CSA20150820,"ASSAULT, TERRORISTIC THREATENING",Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/30/2015 18:55,Closed CSA,1350 BULL LEA RD,CSA20150821,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/30/2015 20:55,Closed CSA,1350 BULL LEA RD,CSA20150822,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
CRIMINAL MISCHIEF,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Criminal Mischief,8/31/2015 0:12,Closed CSA,1350 BULL LEA RD,CSA20150823,CRIMINAL MISCHIEF,Criminal Mischief,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/31/2015 1:30,Closed CSA,1350 BULL LEA RD,CSA20150824,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
"ASSAULT X2, TERRORISTIC THREATENING",1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/31/2015 7:37,Closed CSA,1350 BULL LEA RD,CSA20150825,"ASSAULT X2, TERRORISTIC THREATENING",Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/31/2015 18:38,Closed CSA,1350 BULL LEA RD,CSA20150826,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,8/31/2015 11:00,Closed,1000 SOUTH LIMESTONE ST,20151943,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,8/31/2015 19:10,Closed,310 SOUTH LIMESTONE ST,20151944,TBUT OR DISP FROM BUILDING U$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
POSS OF MARIJUANA/M x2,344 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Drug Violations,9/1/2015 4:10,Citation Issued,344 SOUTH MARTIN LUTHER KING BLVD,20151947,POSS OF MARIJUANA/M x2,Drug Violations,Citation Issued,344 SOUTH MARTIN LUTHER KING BLVD
"DISORDERLY CONDUCT 2ND, CRIMINAL TRESPASSING 3RD",635 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Disorderly Conduct,8/26/2015 22:09,Closed Lexington Police Report,635 SOUTH LIMESTONE ST,2015145936,"DISORDERLY CONDUCT 2ND, CRIMINAL TRESPASSING 3RD",Disorderly Conduct,Closed Lexington Police Report,635 SOUTH LIMESTONE ST
DUI ALC/DRUGS/ETC 2ND W/AGG CIRCUMSTANCES,EAST MAXWELL ST & ROSE ST  ,Lexington,Kentucky,United States of America,DUI,8/29/2015 5:36,Closed Lexington Police Report,EAST MAXWELL ST & ROSE ST,2015147712,DUI ALC/DRUGS/ETC 2ND W/AGG CIRCUMSTANCES,DUI,Closed Lexington Police Report,EAST MAXWELL ST & ROSE ST
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),SOUTH LIMESTONE ST & PINE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,8/29/2015 4:40,Closed Lexington Police Report,SOUTH LIMESTONE ST & PINE ST,2015147680,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Closed Lexington Police Report,SOUTH LIMESTONE ST & PINE ST
ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),JERSEY ST & PINE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,8/29/2015 5:37,Closed Lexington Police Report,JERSEY ST & PINE ST,2015147707,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),Alcohol Intoxication,Closed Lexington Police Report,JERSEY ST & PINE ST
"CRIMINAL MISCHIEF 3RD/M, TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M",1030 SOUTH BROADWAY  ,Lexington,Kentucky,United States of America,Theft,8/29/2015 4:00,Closed Lexington Police Report,1030 SOUTH BROADWAY,2015147706,"CRIMINAL MISCHIEF 3RD/M, TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M",Theft,Closed Lexington Police Report,1030 SOUTH BROADWAY
"TRAF IN MARIJUANA (LESS THAN 8 OZ) 1ST OFF/M X2, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED X2, FLEEING OR EVADING POLICE 2ND DEGREE (ON FOOT)/M, RESISTING ARREST/M, POSSESSION OF HANDGUN BY CONVICTED FELON/F",PINE ST & SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Drug Violations,8/28/2015 3:48,Closed Lexington Police Report,PINE ST & SOUTH LIMESTONE ST,2015146858,"TRAF IN MARIJUANA (LESS THAN 8 OZ) 1ST OFF/M X2, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED X2, FLEEING OR EVADING POLICE 2ND DEGREE (ON FOOT)/M, RESISTING ARREST/M, POSSESSION OF HANDGUN BY CONVICTED FELON/F",Drug Violations,Closed Lexington Police Report,PINE ST & SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,8/31/2015 19:00,Closed CSA,1000 SOUTH LIMESTONE ST,CSA20150827,TBUT OR DISP FROM BUILDING,Theft,Closed CSA,1000 SOUTH LIMESTONE ST
"PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X5, MINOR IN POSSESSION OF ALCOHOL X2",685 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Liquor Law Violation,8/29/2015 0:35,Closed Disciplinary Referral,685 SPORTS CENTER DR,CSA20150829,"PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X5, MINOR IN POSSESSION OF ALCOHOL X2",Liquor Law Violation,Closed Disciplinary Referral,685 SPORTS CENTER DR
PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X6,685 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Liquor Law Violation,8/29/2015 6:01,Closed Disciplinary Referral,685 SPORTS CENTER DR,CSA20150830,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X6,Liquor Law Violation,Closed Disciplinary Referral,685 SPORTS CENTER DR
"OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST OFF/M, FAILURE OF NON-OWNER OPERATOR TO MAINTAIN REQ INS/SEC 1ST/M, LEAVING SCENE OF ACCIDENT - FAILURE TO RENDER AID OR ASSISTANCE/M",110 TRANSCRIPT AVE  ,Lexington,Kentucky,United States of America,DUI,9/2/2015 5:43,Cleared By Arrest,110 TRANSCRIPT AVE,20151951,"OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST OFF/M, FAILURE OF NON-OWNER OPERATOR TO MAINTAIN REQ INS/SEC 1ST/M, LEAVING SCENE OF ACCIDENT - FAILURE TO RENDER AID OR ASSISTANCE/M",DUI,Cleared By Arrest,110 TRANSCRIPT AVE
TBUT OR DISP BICYCLES U/$500/M,550 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,8/31/2015 20:00,Closed,550 SOUTH LIMESTONE ST,20151954,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,550 SOUTH LIMESTONE ST
CONTRIBUTING ALCOHOL TO A MINOR X2,505 COLUMBIA AVE  ,Lexington,Kentucky,United States of America,Liquor Law Violation,8/28/2015 4:30,Closed Lexington Police Report,505 COLUMBIA AVE,201525299,CONTRIBUTING ALCOHOL TO A MINOR X2,Liquor Law Violation,Closed Lexington Police Report,505 COLUMBIA AVE
ALCOHOL INTOXICATION IN A PUBLIC PLACE,685 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,8/29/2015 6:40,Closed Disciplinary Referral,685 SPORTS CENTER DR,201525445,ALCOHOL INTOXICATION IN A PUBLIC PLACE,Alcohol Intoxication,Closed Disciplinary Referral,685 SPORTS CENTER DR
POSS OF MARIJUANA/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Drug Violations,8/29/2015 9:20,Closed N/A,1000 SOUTH LIMESTONE ST,201525457,POSS OF MARIJUANA/M,Drug Violations,Closed N/A,1000 SOUTH LIMESTONE ST
ALCOHOL INTOXICATION IN A PUBLIC PLACE,756 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,8/30/2015 6:01,Closed Disciplinary Referral,756 WOODLAND AVE,201525574,ALCOHOL INTOXICATION IN A PUBLIC PLACE,Alcohol Intoxication,Closed Disciplinary Referral,756 WOODLAND AVE
TERRORISTIC THREATENING,ON CAMPUS  ,Lexington,Kentucky,United States of America,Terroristic Threatening,8/26/2015 1:16,Closed Disciplinary Referral,ON CAMPUS,CSA20150831,TERRORISTIC THREATENING,Terroristic Threatening,Closed Disciplinary Referral,ON CAMPUS
TERRORISTIC THREATENING X2,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,9/1/2015 18:58,Closed CSA,1350 BULL LEA RD,CSA20150832,TERRORISTIC THREATENING X2,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/30/2015 4:00,Closed CSA,1350 BULL LEA RD,CSA20150833,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,9/1/2015 22:05,Closed CSA,1350 BULL LEA RD,CSA20150834,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
CRIMINAL MISCHIEF 3RD/M,110 TRANSCRIPT AVE  ,Lexington,Kentucky,United States of America,Criminal Mischief,9/2/2015 15:00,Closed,110 TRANSCRIPT AVE,20151960,CRIMINAL MISCHIEF 3RD/M,Criminal Mischief,Closed,110 TRANSCRIPT AVE
"PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL, DISPLAY OR POSS OF CANCELLED OR FICTITIOUS OPER LIC/M; POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",685 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Liquor Law Violation,9/3/2015 4:09,Citation Issued,685 SPORTS CENTER DR,20151961,"PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL, DISPLAY OR POSS OF CANCELLED OR FICTITIOUS OPER LIC/M; POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Liquor Law Violation,Citation Issued,685 SPORTS CENTER DR
"RESISTING ARREST/M, ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES)",303 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,9/3/2015 6:12,Cleared By Arrest,303 SOUTH LIMESTONE ST,20151963,"RESISTING ARREST/M, ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES)",Alcohol Intoxication,Cleared By Arrest,303 SOUTH LIMESTONE ST
ENDANGERING UNGROUND FACILITY - EXCAVATOR,343 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,All Other Offenses,8/31/2015 17:24,Closed Lexington Police Report,343 SOUTH MARTIN LUTHER KING BLVD,2015149245,ENDANGERING UNGROUND FACILITY - EXCAVATOR,All Other Offenses,Closed Lexington Police Report,343 SOUTH MARTIN LUTHER KING BLVD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,8/30/2015 4:00,Unfounded,1350 BULL LEA RD,CSA20150835,ASSAULT,Assault,Unfounded,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,9/2/2015 21:55,Closed CSA,1350 BULL LEA RD,CSA20150836,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,9/3/2015 11:16,Closed CSA,1350 BULL LEA RD,CSA20150837,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
TERRORISTIC THREATENING,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,9/3/2015 18:13,Closed CSA,1350 BULL LEA RD,CSA20150838,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA RD
PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X4,361 HUGUELET DR  ,Lexington,Kentucky,United States of America,Liquor Law Violation,9/3/2015 4:15,Closed Disciplinary Referral,361 HUGUELET DR,CSA20150839,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X4,Liquor Law Violation,Closed Disciplinary Referral,361 HUGUELET DR
TBUT OR DISP BICYCLES U/$500/M,763 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,8/31/2015 16:00,Closed,763 WOODLAND AVE,20151965,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,763 WOODLAND AVE
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,9/3/2015 18:53,Closed CSA,1350 BULL LEA RD,CSA20150840,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,9/3/2015 23:48,Closed CSA,1350 BULL LEA RD,CSA20150841,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
ASSAULT,1350 BULL LEA RD  ,Lexington,Kentucky,United States of America,Assault,9/4/2015 11:50,Closed CSA,1350 BULL LEA RD,CSA20150842,ASSAULT,Assault,Closed CSA,1350 BULL LEA RD
