Category,Case Number,Crime Date and Time,Report Date,Location,Incident Description,Residential Occurance,Disposition,,,,,,,,,,,,,,
DUI,20152457,10/23/2015 - 2:46am,10/23/2015,EAST MAXWELL ST & HAGERMAN CT,"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES), DISORDERLY CONDUCT 2ND/M, RECKLESS DRIVING, IMPROPER TURNING, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED, TERRORISTIC THREATENING 3RD/M",No,Cleared By Arrest,,,,,,,,
Terroristic Threatening,CSA20151072,10/23/2015 - 9:21am,10/23/2015,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20151074,10/22/2015 - 11:50pm,10/23/2015,326 SOUTH MARTIN LUTHER KING BLVD,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X5,Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Theft,20152463,10/23/2015 - 3:00pm,10/23/2015,635 SOUTH LIMESTONE ST,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Open,,,,,,,,,,,,,
Assault,CSA20151075,09/19/2015 - 12:00am,10/23/2015,ON CAMPUS,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151077,10/23/2015 - 10:18am,10/23/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151078,10/23/2015 - 12:23pm,10/23/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151079,10/23/2015 - 1:14am,10/23/2015,1350 BULL LEA RD,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,,,,,,,,,,,,,
Assault,CSA20151088,10/23/2015 - 3:35pm,10/23/2015,310 SOUTH LIMESTONE ST,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20151089,10/23/2015 - 12:00am,10/23/2015,693 SPORTS CENTER DR,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL x2,Yes,Closed - CSA,,,,,,,,,,,,,,
DUI,20152446,10/22/2015 - 2:38am,10/22/2015,819 SOUTH LIMESTONE ST,"DISREGARDING TRAFFIC REGULATION - 1ST OFFENSE, OPER MTR VEH U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 2ND/M",No,Cleared By Arrest,,,,,,,,,,,,,
Liquor Law Violation,CSA20151069,10/20/2015 - 12:25am,10/22/2015,340 HILLTOP AVE,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Terroristic Threatening,20152451,10/22/2015 - 2:00pm,10/22/2015,800 ROSE ST,TERRORISTIC THREATENING 3RD/M,No,Closed,,,,,,,,,,,,,,
Alcohol Intoxication,20152452,10/22/2015 - 5:15pm,10/22/2015,125 EAST MAXWELL ST,"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES), CRIMINAL TRESPASSING 3RD",No,Cleared By Arrest,,,,,,,,,,,,,
Theft,20152453,10/22/2015 - 4:45pm,10/22/2015,401 HILLTOP AVE,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Open,,,,,,,,,,,,,
Assault,CSA20151070,10/22/2015 - 12:53pm,10/22/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151071,10/22/2015 - 8:15pm,10/22/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20151073,10/22/2015 - 10:15pm,10/22/2015,693 SPORTS CENTER DR,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X5,Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Motor Vehicle Theft,20152438,10/21/2015 - 10:57am,10/21/2015,505 ROSE ST,"TBUT OR DISP AUTO - $500 OR MORE BUT U/$10,000/F",No,Open,,,,,,,,,,,,,
Theft,20152441,10/21/2015 - 7:15am,10/21/2015,2195 HARRODSBURG RD,TBUT OR DISP PARTS FROM VEHICLE UNDER $500/M,No,Closed,,,,,,,,,,,,,,
Motor Vehicle Theft,20152443,10/21/2015 - 4:00pm,10/21/2015,LIBRARY DR,"TBUT OR DISP AUTO - $500 OR MORE BUT U/$10,000/F",No,Open,,,,,,,,,,,,,
Alcohol Intoxication,201530759,10/21/2015 - 11:15pm,10/21/2015,505 ROSE ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE,No,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Terroristic Threatening,CSA20151063,10/21/2015 - 12:23am,10/21/2015,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151064,10/21/2015 - 11:35am,10/21/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151065,10/21/2015 - 11:50am,10/21/2015,1350 BULL LEA RD,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,,,,,,,,,,,,,
Assault,CSA20151066,10/21/2015 - 5:39pm,10/21/2015,1350 BULL LEA RD,ASSAULT X2,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151067,10/21/2015 - 6:28pm,10/21/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151068,10/21/2015 - 6:28pm,10/21/2015,1350 BULL LEA RD,ASSAULT X2,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,20152422,10/20/2015 - 12:11am,10/20/2015,SOUTH LIMESTONE ST,"FAILURE TO ILLUMINATE HEAD LAMPS, PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED",No,Citation issued,,,,,,,,,,,,
Drug Violations,2015179205,10/18/2015 - 12:30am,10/20/2015,ALUMNI DR & TATES CREEK RD,"DUI ALC/DRUGS/ETC 3RD OFFENSE, POSS OF MARIJUANA, FAILURE OF OWNER TO MAINTAIN REQ INSURANCE 2ND",No,Closed - Lexington Police Report,,,,,,,,,,,,
Alcohol Intoxication,2015179087,10/17/2015 - 7:33pm,10/20/2015,SOUTH LIMESTONE ST & EAST MAXWELL ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES); DISORDERLY CONDUCT 2ND,No,Closed - Lexington Police Report,,,,,,,,,,,,,,
Terroristic Threatening,CSA20151060,10/20/2015 - 8:47am,10/20/2015,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Alcohol Intoxication,20152428,10/20/2015 - 3:30pm,10/20/2015,310 SOUTH LIMESTONE ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Cleared By Arrest,,,,,,,,,,,,,,
Harassment,20152432,10/20/2015 - 5:30pm,10/20/2015,1500 COLLEGE WAY,HARASSMENT - PHYSICAL CONTACT - NO INJURY/M,No,Closed,,,,,,,,,,,,,,
Alcohol Intoxication,20152433,10/20/2015 - 9:16pm,10/20/2015,110 TRANSCRIPT AVE,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Cleared By Arrest,,,,,,,,,,,,,,
Alcohol Intoxication,201530621,10/20/2015 - 9:00pm,10/20/2015,310 SOUTH LIMESTONE ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE,No,Closed - N/A,,,,,,,,,,,,,,
Assault,CSA20151061,10/20/2015 - 12:35pm,10/20/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151062,10/20/2015 - 12:45pm,10/20/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Theft,20152515,10/20/2015 - 5:00pm,10/20/2015,310 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed,,,,,,,,,,,,,,
Alcohol Intoxication,2015178023,10/15/2015 - 8:15pm,10/19/2015,1540 UNIVERSITY DR,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Closed - Lexington Police Report,,,,,,,,,,,,,,
Alcohol Intoxication,2015178627,10/16/2015 - 8:42pm,10/19/2015,SOUTH LIMESTONE ST & WEST MAXWELL ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Closed - Lexington Police Report,,,,,,,,,,,,,,
Terroristic Threatening,CSA20151044,10/19/2015 - 3:34am,10/19/2015,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,CSA20151045,10/15/2015 - 10:00pm,10/19/2015,650 WOODLAND AVE,CRIMINAL MISCHIEF,Yes,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20151046,10/18/2015 - 12:04am,10/19/2015,326 SOUTH MARTIN LUTHER KING BLVD,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X6,Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Liquor Law Violation,CSA20151047,10/17/2015 - 10:30pm,10/19/2015,361 HUGUELET DR,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X3,Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Liquor Law Violation,CSA20151048,10/17/2015 - 10:14pm,10/19/2015,767 WOODLAND AVE,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X6,Yes,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20151049,10/17/2015 - 3:29am,10/19/2015,344 SOUTH MARTIN LUTHER KING BLVD,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X4,Yes,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20151050,10/16/2015 - 11:58pm,10/19/2015,650 WOODLAND AVE,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X4,Yes,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20151051,10/16/2015 - 10:05pm,10/19/2015,650 WOODLAND AVE,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X5,Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Liquor Law Violation,CSA20151052,10/16/2015 - 12:20am,10/19/2015,344 SOUTH MARTIN LUTHER KING BLVD,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X2,Yes,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20151053,10/15/2015 - 11:45pm,10/19/2015,650 WOODLAND AVE,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X2,Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Liquor Law Violation,CSA20151054,10/15/2015 - 6:36pm,10/19/2015,325 HUGUELET DR,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X3,Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,,
All Other Offenses,20152418,10/19/2015 - 12:11pm,10/19/2015,650 WOODLAND AVE,CRIMINAL POSSESSION OF FORGED INSTR 3RD/M,Yes,Open,,,,,,,,,,,,,,
Theft,20152419,10/19/2015 - 8:00am,10/19/2015,1540 UNIVERSITY DR,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed,,,,,,,,,,,,,,
Theft,20152420,10/19/2015 - 2:15pm,10/19/2015,WARREN CT,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,No,Closed,,,,,,,,,,,,,,
Theft,20152421,10/19/2015 - 9:20pm,10/19/2015,401 HILLTOP AVE,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Closed,,,,,,,,,,,,,
Terroristic Threatening,CSA20151055,10/17/2015 - 8:45pm,10/19/2015,310 SOUTH LIMESTONE ST,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151056,10/19/2015 - 11:05am,10/19/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20151057,10/19/2015 - 4:55pm,10/19/2015,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151058,10/19/2015 - 7:15pm,10/19/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151059,10/19/2015 - 10:31pm,10/19/2015,1350 BULL LEA RD,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,,,,,,,,,,,,,
Theft,20152335,09/19/2015 - 6:00pm,10/18/2015,1401 SPORTS CENTER DR,"TBUT OR DISP BICYCLES U/$500/M, CRIMINAL MISCHIEF 3RD/M",No,Closed,,,,,,,,,,,,,
Theft,20152415,10/18/2015 - 8:45pm,10/18/2015,405 ROSE ST,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Unfounded,,,,,,,,,,,,,
Criminal Mischief,CSA20151039,10/18/2015 - 7:45am,10/18/2015,1350 BULL LEA RD,CRIMINAL MISCHIEF,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151040,10/18/2015 - 12:45pm,10/18/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151041,10/18/2015 - 3:30pm,10/18/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151042,10/18/2015 - 3:50pm,10/18/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151043,10/18/2015 - 7:28pm,10/18/2015,1350 BULL LEA RD,ASSAULT X2,No,Closed - CSA,,,,,,,,,,,,,,
Alcohol Intoxication,20152404,10/17/2015 - 3:09am,10/17/2015,207 CONN TER,"ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES) x2, CRIMINAL TRESPASSING 2ND/M x2, DISPLAY OR POSS OF CANCELLED OR FICTITIOUS OL/M",No,Cleared By Arrest,,,,,,,,,,,,
Alcohol Intoxication,201530323,10/17/2015 - 2:45am,10/17/2015,1309 NICHOLASVILLE RD,ALCOHOL INTOXICATION IN A PUBLIC PLACE,No,Closed - N/A,,,,,,,,,,,,,,
Alcohol Intoxication,201530381,10/17/2015 - 10:00pm,10/17/2015,800 ROSE ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE,No,Closed - N/A,,,,,,,,,,,,,,
Assault,CSA20151036,10/17/2015 - 12:45pm,10/17/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20151037,10/17/2015 - 6:08pm,10/17/2015,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Theft,20152394,10/16/2015 - 12:00am,10/16/2015,1540 UNIVERSITY DR,TBUT OR DISP ALL OTHERS U/$500/M,No,Closed,,,,,,,,,,,,,,
Theft,20152397,10/15/2015 - 4:00pm,10/16/2015,1540 UNIVERSITY DR,"TBUT OR DISP ALL OTHERS U/$500/M, FRAUD USE OF CREDIT CARD $500 < $10,000/F",No,Open,,,,,,,,,,,,
Theft,20152398,09/17/2015 - 7:24am,10/16/2015,800 ROSE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed,,,,,,,,,,,,,,
Drug Violations,20152402,10/16/2015 - 11:59pm,10/16/2015,685 SPORTS CENTER DR,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Yes,Citation issued,,,,,,,,,,,,,
Terroristic Threatening,201530264,10/16/2015 - 3:50pm,10/16/2015,310 SOUTH LIMESTONE ST,"TERRORISTIC THREATENING, INDECENT EXPOSURE, ALCOHOL INTOXICATION",No,Closed - N/A,,,,,,,,,,,,
Disorderly Conduct,2015178624,10/16/2015 - 8:45pm,10/16/2015,310 SOUTH LIMESTONE ST,DISORDERLY CONDUCT 2ND,No,Closed - Lexington Police Report,,,,,,,,,,,,,,
Theft,CSA20151027,10/14/2015 - 12:00am,10/16/2015,EAST MAXWELL ST & ROSE ST,TBUT OR DISP CONTENTS FROM AUTO,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151031,10/16/2015 - 10:00am,10/16/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151032,10/16/2015 - 11:44am,10/16/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151033,10/16/2015 - 2:06pm,10/16/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
All Other Offenses,CSA20151034,10/16/2015 - 4:53pm,10/16/2015,1350 BULL LEA RD,MENACING,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20151035,10/16/2015 - 4:55pm,10/16/2015,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20151026,10/13/2015 - 11:00pm,10/15/2015,401 HILLTOP AVE,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,No,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Alcohol Intoxication,20152393,10/15/2015 - 11:40pm,10/15/2015,ARBORETUM & ALUMNI DR,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Cleared By Arrest,,,,,,,,,,,,,,
Alcohol Intoxication,20152389,10/15/2015 - 9:25pm,10/15/2015,1540 UNIVERSITY DR,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Cleared By Arrest,,,,,,,,,,,,,,
Alcohol Intoxication,20152386,10/15/2015 - 8:00pm,10/15/2015,1540 UNIVERSITY DR,"ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFF IN 12 MONTHS/M, DISORDERLY CONDUCT 2ND/M, CRIMINAL TRESPASSING 3RD",No,Cleared By Arrest,,,,,,,,,,,,
Assault,20152388,10/15/2015 - 9:00pm,10/15/2015,1405 VETERANS DR,"ASSAULT 4TH DEGREE (MINOR INJURY)/M, HARASSMENT - PHYSICAL CONTACT - NO INJURY/M",No,Closed,,,,,,,,,,,,,
Disorderly Conduct,20152390,10/15/2015 - 9:20pm,10/15/2015,1540 UNIVERSITY DR,DISORDERLY CONDUCT 2ND/M,No,Cleared By Arrest,,,,,,,,,,,,,,
Assault,20152392,10/15/2015 - 9:00pm,10/15/2015,1540 UNIVERSITY DR,ASSAULT 4TH DEGREE (MINOR INJURY)/M,No,Open,,,,,,,,,,,,,,
Alcohol Intoxication,20152384,10/15/2015 - 7:40pm,10/15/2015,1540 UNIVERSITY DR,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Cleared By Arrest,,,,,,,,,,,,,,
DUI,20152385,10/15/2015 - 7:10pm,10/15/2015,ALUMNI DR,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 (AGG CIRCUM) - 1ST OFF/M,No,Cleared By Arrest,,,,,,,,,,,,,,
Theft,20152391,10/15/2015 - 9:00pm,10/15/2015,1540 UNIVERSITY DR,TBUT OR DISP ALL OTHERS U/$500/M,No,Closed,,,,,,,,,,,,,,
Terroristic Threatening,CSA20151028,10/15/2015 - 9:56am,10/15/2015,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,CSA20151029,10/15/2015 - 1:11pm,10/15/2015,1350 BULL LEA RD,CRIMINAL MISCHIEF,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151030,10/15/2015 - 3:16pm,10/15/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Theft,20152373,08/01/2015 - 11:38pm,10/14/2015,1000 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed,,,,,,,,,,,,,,
Theft,20152375,10/09/2015 - 4:30pm,10/14/2015,2355 HUGUENARD DR,TBUT OR DISP FROM BUILDING U/$500/M,No,Open,,,,,,,,,,,,,,
Theft,20152376,10/14/2015 - 12:00am,10/14/2015,UNIVERSITY DR,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed,,,,,,,,,,,,,,
Harassing Communications,20152377,10/12/2015 - 5:14pm,10/14/2015,1000 SOUTH LIMESTONE ST,HARASSING COMMUNICATIONS/M,No,Open,,,,,,,,,,,,,,
Assault,201530103,10/12/2015 - 6:00pm,10/14/2015,1000 SOUTH LIMESTONE ST,HARASSMENT - PHYSICAL CONTACT - NO INJURY,No,Closed - N/A,,,,,,,,,,,,,,
Assault,CSA20151022,10/14/2015 - 6:35am,10/14/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151023,10/14/2015 - 1:07pm,10/14/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151024,10/14/2015 - 5:54pm,10/14/2015,1350 BULL LEA RD,"ASSAULT X2, TERRORISTIC THREATENING X2",No,Cleared By Arrest,,,,,,,,,,,,,
Terroristic Threatening,CSA20151025,10/14/2015 - 9:38pm,10/14/2015,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
All Other Offenses,2015175757,10/12/2015 - 12:00am,10/13/2015,800 ROSE ST,THEFT OF IDENTITY OF ANOTHER W/O CONSENT/F,No,Closed - Lexington Police Report,,,,,,,,,,,,,,
Alcohol Intoxication,2015174989,10/10/2015 - 10:05pm,10/13/2015,EAST MAXWELL ST & SOUTH LIMESTONE ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Closed - Lexington Police Report,,,,,,,,,,,,,,
Theft,20152372,10/13/2015 - 11:35pm,10/13/2015,401 HILLTOP AVE,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Open,,,,,,,,,,,,,
DUI,20152354,10/12/2015 - 2:57am,10/12/2015,VIRGINIA AVE & SOUTH BROADWAY,OPER MTR VEH U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 2ND OFF/M,No,Cleared By Arrest,,,,,,,,,,,,,,
DUI,20152355,10/12/2015 - 3:52am,10/12/2015,HUGUELET DR,"CARELESS DRIVING, NO OTHER STATE REGISTRATION RECEIPT, FAILURE TO PRODUCE INSURANCE CARD, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M",No,Cleared By Arrest,,,,,,,,,,,
Assault,CSA20151016,10/11/2015 - 10:20pm,10/12/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Theft,CSA20151018,10/09/2015 - 1:42am,10/12/2015,650 WOODLAND AVE,TBUT OR DISP FROM BUILDING,Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Liquor Law Violation,CSA20151019,10/10/2015 - 10:35pm,10/12/2015,685 SPORTS CENTER DR,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X3,Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,,
Criminal Mischief,20152356,10/09/2015 - 8:00am,10/12/2015,COLLEGE VIEW,CRIMINAL MISCHIEF 3RD/M,No,Closed,,,,,,,,,,,,,,
Criminal Mischief,20152360,10/09/2015 - 4:30pm,10/12/2015,845 ANGLIANA AVE,CRIMINAL MISCHIEF 2ND DEGREE/M,No,Open,,,,,,,,,,,,,,
Drug Violations,20152362,10/12/2015 - 10:43pm,10/12/2015,763 WOODLAND AVE,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M, PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL",Yes,Closed - Disciplinary Referral,,,,,,,,,,,,
Assault,CSA20151020,10/12/2015 - 12:22pm,10/12/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,CSA20151021,10/12/2015 - 12:00pm,10/12/2015,1350 BULL LEA RD,CRIMINAL MISCHIEF,No,Closed - CSA,,,,,,,,,,,,,,
Drug Violations,20152347,10/11/2015 - 12:51am,10/11/2015,1000 SOUTH LIMESTONE ST,POSS OF MARIJUANA/M,No,Citation issued,,,,,,,,,,,,,,
Harassment,20152348,10/11/2015 - 1:50am,10/11/2015,300 ALUMNI DR,HARASSMENT (NO PHYSICAL CONTACT),Yes,Open,,,,,,,,,,,,,,
Alcohol Intoxication,20152349,10/11/2015 - 3:58am,10/11/2015,JERSEY ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSES),No,Cleared By Arrest,,,,,,,,,,,,,,
Harassment,20152350,10/11/2015 - 3:01am,10/11/2015,756 WOODLAND AVE,HARASSMENT - PHYSICAL CONTACT - NO INJURY/M,Yes,Closed,,,,,,,,,,,,,,
Alcohol Intoxication,201529753,10/11/2015 - 1:59am,10/11/2015,329 ROSE ST,ALCOHOL INTOXICATION IN A PUBLIC PLACE,No,Closed - N/A,,,,,,,,,,,,,,
Terroristic Threatening,CSA20151010,10/10/2015 - 8:41pm,10/11/2015,1350 BULL LEA RD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20151011,10/10/2015 - 9:02pm,10/11/2015,1350 BULL LEA RD,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,,,,,,,,,,,,,
Assault,CSA20151012,10/11/2015 - 2:33pm,10/11/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151013,10/11/2015 - 3:10pm,10/11/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20151014,10/11/2015 - 3:42pm,10/11/2015,1350 BULL LEA RD,"ASSAULT, TERRORISTIC THREATENING",No,Closed - CSA,,,,,,,,,,,,,
Assault,CSA20151015,10/11/2015 - 5:47pm,10/11/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Drug Violations,20152344,10/10/2015 - 12:00am,10/10/2015,125 AVENUE OF CHAMPIONS,"POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",Yes,Closed - Disciplinary Referral,,,,,,,,,,,,,
DUI,20152345,10/10/2015 - 3:00am,10/10/2015,WALLER AVE & NICHOLASVILLE RD,"CARELESS DRIVING, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M",No,Cleared By Arrest,,,,,,,,,,,,,
Assault,CSA20151007,10/10/2015 - 1:10am,10/10/2015,1350 BULL LEA RD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
